"type","percent","years_till_retirement"
"US Stocks",38.2,0
"International Stocks",16.3,0
"US Bonds",32,0
"International Bonds",9.1,0
"Short Term TIPS",4.4,0
"US Stocks",44.4,1
"International Stocks",19,1
"US Bonds",29.3,1
"International Bonds",7.3,1
"Short Term TIPS",0,1
"US Stocks",44.4,2
"International Stocks",19,2
"US Bonds",29.3,2
"International Bonds",7.3,2
"Short Term TIPS",0,2
"US Stocks",44.4,3
"International Stocks",19,3
"US Bonds",29.3,3
"International Bonds",7.3,3
"Short Term TIPS",0,3
"US Stocks",44.4,4
"International Stocks",19,4
"US Bonds",29.3,4
"International Bonds",7.3,4
"Short Term TIPS",0,4
"US Stocks",44.4,5
"International Stocks",19,5
"US Bonds",29.3,5
"International Bonds",7.3,5
"Short Term TIPS",0,5
"US Stocks",49.6,6
"International Stocks",21.3,6
"US Bonds",23.3,6
"International Bonds",5.8,6
"Short Term TIPS",0,6
"US Stocks",49.6,7
"International Stocks",21.3,7
"US Bonds",23.3,7
"International Bonds",5.8,7
"Short Term TIPS",0,7
"US Stocks",49.6,8
"International Stocks",21.3,8
"US Bonds",23.3,8
"International Bonds",5.8,8
"Short Term TIPS",0,8
"US Stocks",49.6,9
"International Stocks",21.3,9
"US Bonds",23.3,9
"International Bonds",5.8,9
"Short Term TIPS",0,9
"US Stocks",49.6,10
"International Stocks",21.3,10
"US Bonds",23.3,10
"International Bonds",5.8,10
"Short Term TIPS",0,10
"US Stocks",54.9,11
"International Stocks",23.5,11
"US Bonds",17.3,11
"International Bonds",4.3,11
"Short Term TIPS",0,11
"US Stocks",54.9,12
"International Stocks",23.5,12
"US Bonds",17.3,12
"International Bonds",4.3,12
"Short Term TIPS",0,12
"US Stocks",54.9,13
"International Stocks",23.5,13
"US Bonds",17.3,13
"International Bonds",4.3,13
"Short Term TIPS",0,13
"US Stocks",54.9,14
"International Stocks",23.5,14
"US Bonds",17.3,14
"International Bonds",4.3,14
"Short Term TIPS",0,14
"US Stocks",54.9,15
"International Stocks",23.5,15
"US Bonds",17.3,15
"International Bonds",4.3,15
"Short Term TIPS",0,15
"US Stocks",60.1,16
"International Stocks",25.8,16
"US Bonds",11.3,16
"International Bonds",2.8,16
"Short Term TIPS",0,16
"US Stocks",60.1,17
"International Stocks",25.8,17
"US Bonds",11.3,17
"International Bonds",2.8,17
"Short Term TIPS",0,17
"US Stocks",60.1,18
"International Stocks",25.8,18
"US Bonds",11.3,18
"International Bonds",2.8,18
"Short Term TIPS",0,18
"US Stocks",60.1,19
"International Stocks",25.8,19
"US Bonds",11.3,19
"International Bonds",2.8,19
"Short Term TIPS",0,19
"US Stocks",60.1,20
"International Stocks",25.8,20
"US Bonds",11.3,20
"International Bonds",2.8,20
"Short Term TIPS",0,20
"US Stocks",61,21
"International Stocks",26,21
"US Bonds",10.5,21
"International Bonds",2.5,21
"Short Term TIPS",0,21
"US Stocks",61,22
"International Stocks",26,22
"US Bonds",10.5,22
"International Bonds",2.5,22
"Short Term TIPS",0,22
"US Stocks",61,23
"International Stocks",26,23
"US Bonds",10.5,23
"International Bonds",2.5,23
"Short Term TIPS",0,23
"US Stocks",61,24
"International Stocks",26,24
"US Bonds",10.5,24
"International Bonds",2.5,24
"Short Term TIPS",0,24
"US Stocks",61,25
"International Stocks",26,25
"US Bonds",10.5,25
"International Bonds",2.5,25
"Short Term TIPS",0,25
"US Stocks",63,26
"International Stocks",27,26
"US Bonds",8,26
"International Bonds",2,26
"Short Term TIPS",0,26
"US Stocks",63,27
"International Stocks",27,27
"US Bonds",8,27
"International Bonds",2,27
"Short Term TIPS",0,27
"US Stocks",63,28
"International Stocks",27,28
"US Bonds",8,28
"International Bonds",2,28
"Short Term TIPS",0,28
"US Stocks",63,29
"International Stocks",27,29
"US Bonds",8,29
"International Bonds",2,29
"Short Term TIPS",0,29
"US Stocks",63,30
"International Stocks",27,30
"US Bonds",8,30
"International Bonds",2,30
"Short Term TIPS",0,30
"US Stocks",63,31
"International Stocks",27,31
"US Bonds",8,31
"International Bonds",2,31
"Short Term TIPS",0,31
"US Stocks",63,32
"International Stocks",27,32
"US Bonds",8,32
"International Bonds",2,32
"Short Term TIPS",0,32
"US Stocks",63,33
"International Stocks",27,33
"US Bonds",8,33
"International Bonds",2,33
"Short Term TIPS",0,33
"US Stocks",63,34
"International Stocks",27,34
"US Bonds",8,34
"International Bonds",2,34
"Short Term TIPS",0,34
"US Stocks",63,35
"International Stocks",27,35
"US Bonds",8,35
"International Bonds",2,35
"Short Term TIPS",0,35
"US Stocks",63,36
"International Stocks",27,36
"US Bonds",8,36
"International Bonds",2,36
"Short Term TIPS",0,36
"US Stocks",63,37
"International Stocks",27,37
"US Bonds",8,37
"International Bonds",2,37
"Short Term TIPS",0,37
"US Stocks",63,38
"International Stocks",27,38
"US Bonds",8,38
"International Bonds",2,38
"Short Term TIPS",0,38
"US Stocks",63,39
"International Stocks",27,39
"US Bonds",8,39
"International Bonds",2,39
"Short Term TIPS",0,39
"US Stocks",63,40
"International Stocks",27,40
"US Bonds",8,40
"International Bonds",2,40
"Short Term TIPS",0,40
"US Stocks",63,41
"International Stocks",27,41
"US Bonds",8,41
"International Bonds",2,41
"Short Term TIPS",0,41
"US Stocks",63,42
"International Stocks",27,42
"US Bonds",8,42
"International Bonds",2,42
"Short Term TIPS",0,42
"US Stocks",63,43
"International Stocks",27,43
"US Bonds",8,43
"International Bonds",2,43
"Short Term TIPS",0,43
"US Stocks",63,44
"International Stocks",27,44
"US Bonds",8,44
"International Bonds",2,44
"Short Term TIPS",0,44
"US Stocks",63,45
"International Stocks",27,45
"US Bonds",8,45
"International Bonds",2,45
"Short Term TIPS",0,45
"US Stocks",63,46
"International Stocks",27,46
"US Bonds",8,46
"International Bonds",2,46
"Short Term TIPS",0,46
"US Stocks",63,47
"International Stocks",27,47
"US Bonds",8,47
"International Bonds",2,47
"Short Term TIPS",0,47
"US Stocks",63,48
"International Stocks",27,48
"US Bonds",8,48
"International Bonds",2,48
"Short Term TIPS",0,48
"US Stocks",63,49
"International Stocks",27,49
"US Bonds",8,49
"International Bonds",2,49
"Short Term TIPS",0,49
"US Stocks",63,50
"International Stocks",27,50
"US Bonds",8,50
"International Bonds",2,50
"Short Term TIPS",0,50
"US Stocks",63,51
"International Stocks",27,51
"US Bonds",8,51
"International Bonds",2,51
"Short Term TIPS",0,51
"US Stocks",63,52
"International Stocks",27,52
"US Bonds",8,52
"International Bonds",2,52
"Short Term TIPS",0,52
"US Stocks",63,53
"International Stocks",27,53
"US Bonds",8,53
"International Bonds",2,53
"Short Term TIPS",0,53
"US Stocks",63,54
"International Stocks",27,54
"US Bonds",8,54
"International Bonds",2,54
"Short Term TIPS",0,54
"US Stocks",63,55
"International Stocks",27,55
"US Bonds",8,55
"International Bonds",2,55
"Short Term TIPS",0,55
"US Stocks",63,56
"International Stocks",27,56
"US Bonds",8,56
"International Bonds",2,56
"Short Term TIPS",0,56
"US Stocks",63,57
"International Stocks",27,57
"US Bonds",8,57
"International Bonds",2,57
"Short Term TIPS",0,57
"US Stocks",63,58
"International Stocks",27,58
"US Bonds",8,58
"International Bonds",2,58
"Short Term TIPS",0,58
"US Stocks",63,59
"International Stocks",27,59
"US Bonds",8,59
"International Bonds",2,59
"Short Term TIPS",0,59
"US Stocks",63,60
"International Stocks",27,60
"US Bonds",8,60
"International Bonds",2,60
"Short Term TIPS",0,60
"US Stocks",63,61
"International Stocks",27,61
"US Bonds",8,61
"International Bonds",2,61
"Short Term TIPS",0,61
"US Stocks",63,62
"International Stocks",27,62
"US Bonds",8,62
"International Bonds",2,62
"Short Term TIPS",0,62
"US Stocks",63,63
"International Stocks",27,63
"US Bonds",8,63
"International Bonds",2,63
"Short Term TIPS",0,63
"US Stocks",63,64
"International Stocks",27,64
"US Bonds",8,64
"International Bonds",2,64
"Short Term TIPS",0,64
"US Stocks",63,65
"International Stocks",27,65
"US Bonds",8,65
"International Bonds",2,65
"Short Term TIPS",0,65
"US Stocks",63,66
"International Stocks",27,66
"US Bonds",8,66
"International Bonds",2,66
"Short Term TIPS",0,66
"US Stocks",63,67
"International Stocks",27,67
"US Bonds",8,67
"International Bonds",2,67
"Short Term TIPS",0,67
"US Stocks",63,68
"International Stocks",27,68
"US Bonds",8,68
"International Bonds",2,68
"Short Term TIPS",0,68
"US Stocks",63,69
"International Stocks",27,69
"US Bonds",8,69
"International Bonds",2,69
"Short Term TIPS",0,69
"US Stocks",63,70
